pixel_x,pixel_y,z_smpl_m,z_vggt_raw,scale_ratio,valid
290.0,126.0,8.731224060058594,0.8913979530334473,9.794979095458984,1
304.0,126.0,8.730094909667969,0.8802961707115173,9.917224884033203,1
330.0,126.0,8.444544792175293,0.8655683994293213,9.75606918334961,1
342.0,126.0,8.438430786132812,0.8674758076667786,9.727568626403809,1
346.0,126.0,8.460664749145508,0.8713809847831726,9.709489822387695,1
242.0,127.0,9.135775566101074,0.9540488123893738,9.57579517364502,1
243.0,127.0,9.191475868225098,0.9561914801597595,9.612588882446289,1
244.0,127.0,9.146279335021973,0.9500031471252441,9.627630233764648,1
245.0,127.0,9.150036811828613,0.9475573897361755,9.65644645690918,1
246.0,127.0,9.1651611328125,0.9831406474113464,9.3223295211792,1
294.0,127.0,8.53355598449707,0.887130081653595,9.619283676147461,1
325.0,127.0,8.45186710357666,0.8665454983711243,9.753518104553223,1
336.0,127.0,8.629682540893555,0.8658924698829651,9.966228485107422,1
220.0,128.0,9.168516159057617,0.9485253095626831,9.666074752807617,1
236.0,128.0,9.21428108215332,0.9515546560287476,9.683396339416504,1
